supervisor_district_2012,property_location,parcel_number,block,lot,volume_number,use_code,use_definition,property_class_code,property_class_code_definition,year_property_built,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_of_stories,number_of_units,closed_roll_year,zoning_code,construction_type,lot_depth,lot_frontage,property_area,basement_area,lot_area,lot_code,the_geom,tax_rate_area_code,percent_of_ownership,exemption_code,exemption_code_definition,status_code,misc_exemption_value,homeowner_exemption_value,current_sales_date,assessed_fixtures_value,assessed_improvement_value,assessed_land_value,assessed_personal_property_value,assessor_neighborhood_district,assessor_neighborhood_code,assessor_neighborhood,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of,row_id,total_assessed_value,property_price_per_sqft
3.0,0000 0460 FRANCISCO           ST0102,0041089,0041,089,1.0,SRES,Single Family Residential,Z,Condominium,1982.0,1.0,1.0,3.0,1.0,1.0,2017,NBEACH,D,0.0,0.0,585.0,0.0,0.0,,POINT (-122.41282369963999 37.80494015554847),1000.0,1.0,,,,0.0,0.0,2016-09-14T00:00:00.000,0.0,365000.0,365000.0,0.0,8.0,8D,North Beach,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170041089,730000.0,1247.8632478632478
2.0,0000 0740 FRANCISCO           ST0000,0044002A,0044,002A,1.0,SRES,Single Family Residential,D,Dwelling,1948.0,2.0,0.0,5.0,1.0,1.0,2017,RH2,D,0.0,0.0,1430.0,0.0,2435.0,,POINT (-122.41738939395586 37.80442046169145),1000.0,1.0,,,,0.0,0.0,2015-11-30T00:00:00.000,0.0,624750.0,1020000.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170044002A,1644750.0,1150.1748251748252
2.0,0000 0819 FRANCISCO           ST0000,0048018,0048,018,1.0,SRES,Single Family Residential,D,Dwelling,1976.0,2.0,0.0,7.0,2.0,1.0,2017,RH1D,D,15.0,0.0,2040.0,0.0,3952.55,R,POINT (-122.41905519093505 37.80372762678516),1000.0,1.0,,,,0.0,0.0,2015-11-12T00:00:00.000,0.0,856800.0,4855200.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170048018,5712000.0,2800.0
2.0,0000 0815 FRANCISCO           ST0000,0048019,0048,019,1.0,SRES,Single Family Residential,D,Dwelling,2007.0,4.0,3.0,13.0,3.0,0.0,2017,RH1D,D,15.0,0.0,4814.0,0.0,3953.7,R,POINT (-122.41893768525674 37.803742455976504),1000.0,1.0,,,,0.0,0.0,,0.0,5194842.0,350030.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170048019,5544872.0,1151.8221852928957
3.0,0000 1980 GRANT               AV0007,0055021,0055,021,1.0,SRES,Single Family Residential,Z,Condominium,1988.0,3.0,3.0,8.0,3.0,1.0,2017,RH3,D,0.0,0.0,2613.0,0.0,0.0,,POINT (-122.4080188362831 37.805095675846914),1000.0,1.0,,,,0.0,0.0,2014-07-02T00:00:00.000,0.0,1887787.0,1656888.0,0.0,8.0,8G,Telegraph Hill,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170055021,3544675.0,1356.553769613471
3.0,0000 0111 CHESTNUT            ST0806,0060293,0060,293,1.0,SRES,Single Family Residential,Z,Condominium,1993.0,0.0,0.0,0.0,0.0,1.0,2017,C2,D,0.0,0.0,613.0,0.0,0.0,,POINT (-122.40550410447966 37.80424398392834),1000.0,1.0,,,,0.0,0.0,2016-11-04T00:00:00.000,0.0,367500.0,367500.0,0.0,8.0,8H,North Waterfront,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170060293,735000.0,1199.021207177814
3.0,0000 0111 CHESTNUT            ST0810,0060297,0060,297,1.0,SRES,Single Family Residential,Z,Condominium,1993.0,0.0,0.0,0.0,0.0,1.0,2017,C2,D,0.0,0.0,720.0,0.0,0.0,,POINT (-122.40550410447966 37.80424398392834),1000.0,1.0,,,,0.0,0.0,2016-01-25T00:00:00.000,0.0,464100.0,464100.0,0.0,8.0,8H,North Waterfront,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170060297,928200.0,1289.1666666666667
2.0,0000 1150 LOMBARD             ST0030,0069030,0069,030,1.0,SRES,Single Family Residential,Z,Condominium,1989.0,2.0,2.0,0.0,0.0,1.0,2017,RH3,D,0.0,0.0,1596.0,0.0,0.0,,POINT (-122.42057153126015 37.802351697823255),1000.0,1.0,,,,0.0,0.0,2008-09-12T00:00:00.000,0.0,929273.0,929273.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170069030,1858546.0,1164.5025062656641
2.0,0000 1116 GREENWICH           ST0000,0071005C,0071,005C,1.0,SRES,Single Family Residential,D,Dwelling,1941.0,2.0,0.0,7.0,2.0,1.0,2017,RH3,D,0.0,0.0,1903.0,0.0,2866.0,,POINT (-122.41815821205856 37.80141092291234),1000.0,1.0,,,,0.0,0.0,2015-08-31T00:00:00.000,0.0,864450.0,2017050.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170071005C,2881500.0,1514.1881240147136
3.0,0000 0945 LOMBARD             ST0000,0072057,0072,057,1.0,SRES,Single Family Residential,Z,Condominium,1913.0,2.0,2.0,4.0,1.0,1.0,2017,,,0.0,0.0,1174.0,0.0,0.0,,POINT (-122.41703159268852 37.80194790106684),1000.0,1.0,,,,0.0,0.0,2015-04-01T00:00:00.000,0.0,867276.0,867276.0,0.0,8.0,8E,Russian Hill,3.0,Russian Hill,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170072057,1734552.0,1477.471890971039
3.0,0000 0030 EDITH               ST0000,0077004,0077,004,1.0,SRES,Single Family Residential,D,Dwelling,1940.0,1.0,0.0,6.0,1.0,1.0,2017,RH3,D,0.0,0.0,1507.0,0.0,2617.0,,POINT (-122.40860528576921 37.80290857631165),1000.0,1.0,,,,0.0,0.0,2013-05-20T00:00:00.000,0.0,604791.0,1411183.0,0.0,8.0,8G,Telegraph Hill,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170077004,2015974.0,1337.7398805573987
3.0,0000 0348 GREENWICH           ST0000,0079010,0079,010,1.0,SRES,Single Family Residential,Z,Condominium,1937.0,1.0,0.0,2.0,0.0,1.0,2017,RH3,D,0.0,0.0,676.0,0.0,0.0,,POINT (-122.40533789884489 37.8030500941811),1000.0,1.0,,,,0.0,0.0,2011-08-15T00:00:00.000,0.0,530307.0,530307.0,0.0,8.0,8G,Telegraph Hill,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170079010,1060614.0,1568.9556213017752
3.0,0000 0350 GREENWICH           ST0000,0079011,0079,011,1.0,SRES,Single Family Residential,Z,Condominium,1937.0,1.0,2.0,5.0,1.0,1.0,2017,RH3,D,0.0,0.0,1688.0,0.0,0.0,,POINT (-122.40533789884489 37.8030500941811),1000.0,1.0,,,,0.0,0.0,2013-07-02T00:00:00.000,0.0,1465540.0,1465540.0,0.0,8.0,8G,Telegraph Hill,3.0,North Beach,2023-10-04T09:38:21.000,2023-10-02T12:14:02.000,20170079011,2931080.0,1736.4218009478673
